Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Eat Lead: The Return of Matt Hazard,2009,0.09,0.02,0,0.01,0.13
Yu-Gi-Oh! Nightmare Troubadour (JP sales),2005,0,0.03,0.1,0,0.13
Backyard Baseball,2003,0.1,0.03,0,0,0.13
Star Wars: Lethal Alliance,2006,0.11,0.01,0,0.01,0.13
Naruto Shippuden: Kizuna Drive,2010,0.04,0.02,0.05,0.01,0.13
Under Night In-Birth,2014,0.06,0.01,0.04,0.02,0.13
Sega GT,2000,0,0,0.13,0,0.13
Steel Battalion: Heavy Armor,2012,0.08,0.02,0.02,0.01,0.13
Green Lantern: Rise of the Manhunters,2011,0.07,0.04,0,0.01,0.13
Legends of Wrestling,2002,0.1,0.03,0,0,0.13
Fit in Six,2011,0.12,0,0,0.01,0.13
Gunstar Heroes,1992,0,0,0.13,0,0.13
All-Star Baseball 2004,2003,0.1,0.03,0,0,0.13
Tamagotchi no Pichi Pichi Omisecchi,2010,0,0,0.13,0,0.13
Shining Wind,2007,0,0,0.13,0,0.13
Rock Band Track Pack Volume 2,2008,0.11,0,0,0.01,0.13
Dokapon Kingdom,2008,0.12,0,0,0.01,0.13
Onechanbara: Bikini Samurai Squad,2006,0.11,0.01,0,0.01,0.13
Portal Runner,2001,0.06,0.05,0,0.02,0.13
Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,2004,0.09,0.03,0,0,0.13
Warriors Orochi 2,2008,0.06,0.05,0,0.02,0.13
Hyperdevotion Noire: Goddess Black Heart,2014,0.04,0.01,0.06,0.02,0.13
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2005,0.06,0.05,0,0.02,0.13
Assault: Retribution,1998,0.07,0.05,0,0.01,0.13
Sengoku Basara 3 Utage,2011,0,0,0.13,0,0.13
Spartan: Total Warrior,2005,0.1,0.03,0,0,0.13
City Crisis,2001,0.06,0.05,0,0.02,0.13
Zapper: One Wicked Cricket!,2002,0.1,0.03,0,0,0.13
Smart Boy's Gameroom,2007,0.12,0,0,0.01,0.13
Victorious: Time to Shine,2011,0.12,0,0,0.01,0.13
Star Wars: Clone Wars,2003,0.1,0.03,0,0,0.13
High Rollers Casino,2004,0.1,0.03,0,0,0.13
Advent Rising,2005,0.1,0.03,0,0,0.13
Surf Riders,1999,0.07,0.05,0,0.01,0.13
Torino 2006,2006,0.06,0.05,0,0.02,0.13
Nobunaga no Yabou: Ranseiki,2002,0,0,0.13,0,0.13
Derby Stallion Advance,2002,0,0,0.12,0,0.13
The X-Factor,2010,0,0.1,0,0.03,0.13
Monopoly Party,2002,0.1,0.03,0,0,0.13
Snood,2001,0.09,0.03,0,0,0.13
TOCA Race Driver 2: Ultimate Racing Simulator,2004,0.09,0.03,0,0,0.13
Monster Jam: Urban Assault,2008,0.06,0.05,0,0.02,0.13
DT Racer,2005,0.06,0.05,0,0.02,0.13
Soccer Tsuku: Pro Soccer Club o Tsukurou!,2013,0,0,0.13,0,0.13
World Cup Golf: Professional Edition,1995,0.07,0.05,0,0.01,0.13
NBA 2K13,2012,0.07,0.04,0,0.01,0.13
Black Dawn,1996,0.07,0.05,0,0.01,0.13
428: Fuusa Sareta Shibuya de,2008,0,0,0.13,0,0.13
7 Wonders of the Ancient World,2007,0.1,0.01,0,0.01,0.13
Kelly Slater's Pro Surfer,2002,0.09,0.03,0,0,0.13
Top Shot Arcade,2011,0.12,0,0,0.01,0.13
Warriors of Might and Magic,2001,0.07,0.05,0,0.01,0.13
Twister Mania,2011,0.1,0.01,0,0.01,0.13
Drome Racers,2002,0.06,0.05,0,0.02,0.13
Gungnir: Mayari no Gunshin to Eiyuu Sensou,2011,0.07,0,0.04,0.01,0.13
X-Men: Next Dimension,2002,0.1,0.03,0,0,0.13
Dynasty Warriors 5 Empires,2006,0.11,0.01,0,0.01,0.13
Fuse (Insomniac),2013,0.09,0.03,0,0.01,0.13
WipeOut 3 The Game,2012,0.11,0,0,0.01,0.13
7th Dragon 2020-II,2013,0,0,0.13,0,0.13
Doukyuusei 2,1997,0,0,0.13,0,0.13
Aikatsu! 365 Idol Days,2014,0,0,0.13,0,0.13
SkullMonkeys,1998,0.07,0.05,0,0.01,0.13
Burnout,2002,0.09,0.03,0,0,0.13
Baroque,2007,0.05,0.04,0.02,0.01,0.13
SBK 2011: FIM Superbike World Championship,2011,0.01,0.09,0,0.03,0.13
Jurassic: The Hunted,2009,0.12,0,0,0.01,0.13
Dynasty Warriors: Gundam Reborn,2013,0,0,0.13,0,0.13
Little Battlers eXperience: Wars,2013,0,0,0.13,0,0.13
DreamWorks Super Star Kartz,2011,0.08,0.03,0,0.01,0.13
Hour of Victory,2007,0.1,0.01,0,0.01,0.13
Indianapolis 500 Legends,2007,0.12,0,0,0.01,0.13
NBA Ballers: Phenom,2006,0.09,0.03,0,0,0.13
Shimano Xtreme Fishing,2009,0.12,0,0,0.01,0.13
Crash Tag Team Racing,2005,0.09,0.03,0,0,0.13
Freedom Fighters,2003,0.1,0.03,0,0,0.13
Yu-Gi-Oh! GX: Tag Force,2006,0.09,0.02,0,0.02,0.13
NBA 2K17,2016,0.06,0.04,0,0.02,0.13
Mega Man X Collection,2006,0.1,0.03,0,0,0.13
Left Brain Right Brain 2,2008,0.12,0,0,0.01,0.13
Detana TwinBee Yahho! Deluxe Pack,1995,0,0,0.13,0,0.13
Last Ranker,2010,0,0,0.13,0,0.13
Quantum Redshift,2002,0.09,0.03,0,0,0.13
The History Channel: Great Battles - Medieval,2010,0.08,0.04,0,0.01,0.13
Smash Court Tennis Pro Tournament 2,2004,0.06,0.05,0,0.02,0.13
Brothers in Arms: Double Time,2008,0.11,0,0,0.01,0.13
Legends of Wrestling II,2002,0.09,0.03,0,0,0.13
Power Pro Kun Pocket 13,2010,0,0,0.13,0,0.13
Armed and Dangerous,2003,0.09,0.03,0,0,0.13
Football Manager 2012,2011,0,0.09,0,0.04,0.13
Project CARS,2015,0,0.12,0,0.01,0.13
Teenage Mutant Ninja Turtles: Arcade Attack,2009,0.12,0,0,0.01,0.13
World Soccer Winning Eleven 2002,2002,0,0,0.12,0.01,0.13
Actua Tennis,1997,0.07,0.05,0,0.01,0.13
Monster Truck Madness,2003,0.09,0.03,0,0,0.12
Resident Evil,2006,0,0,0.12,0,0.12
Sonic Jam,1997,0,0,0.12,0,0.12
Puella Magi Madoka Magica Portable,2012,0,0,0.12,0,0.12
Peter Jacobsen's Golden Tee Golf,2000,0.07,0.05,0,0.01,0.12
Space Bust-A-Move,2008,0.1,0.02,0,0.01,0.12
Avatar: The Last Airbender - Into the Inferno,2008,0.11,0.01,0,0.01,0.12
Deadpool,2015,0.09,0.03,0,0.01,0.12
Disney's Atlantis: The Lost Empire,2001,0.09,0.03,0,0,0.12
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,1998,0,0,0.12,0,0.12
Just Cause 2,2010,0,0.1,0,0.02,0.12
Crush3D,2012,0.07,0.04,0,0.01,0.12
LEGO Marvel's Avengers,2016,0.02,0.07,0,0.03,0.12
High Velocity: Mountain Racing Challenge,1995,0,0,0.12,0,0.12
NeverDead,2012,0.06,0.04,0.01,0.02,0.12
Capcom vs. SNK 2: Millionaire Fighting 2001,2001,0,0,0.12,0,0.12
Criticom,1996,0.07,0.05,0,0.01,0.12
Mega Man X: Command Mission,2004,0.1,0.02,0,0,0.12
Charm Girls Club: My Fashion Mall,N/A,0.12,0,0,0.01,0.12
SCORE International Baja 1000: The Official Game,2008,0.11,0.01,0,0.01,0.12
Deepak Chopra's Leela,2011,0.1,0.01,0,0.01,0.12
Need for Speed: ProStreet,2007,0.11,0.01,0,0.01,0.12
DiRT Rally,2016,0.04,0.08,0,0.01,0.12
NHL 2K7,2006,0.11,0,0,0.01,0.12
Go Play: Circus Star,2009,0.12,0,0,0.01,0.12
Worms 3D,2003,0.06,0.05,0,0.02,0.12
Gladiator Begins,2010,0.05,0.01,0.05,0.01,0.12
Clock Tower: The First Fear,1997,0,0,0.12,0.01,0.12
Sleeping Dogs,2012,0.06,0.05,0,0.01,0.12
Kidou Senshi Gundam Seed Battle Destiny,2012,0,0,0.12,0,0.12
Diner Dash: Sizzle & Serve,2007,0.11,0,0,0.01,0.12
Impossible Mission,2007,0.11,0,0,0.01,0.12
"Kilari: Na-san, Mon Meilleur Ami",2006,0,0,0.12,0,0.12
Strikers 1945,1998,0.07,0.05,0,0.01,0.12
Ochaken no Heya DS,2006,0,0,0.12,0,0.12
Fire ProWrestling S: 6Men Scramble,1996,0,0,0.12,0,0.12
Galidor: Defenders of the Outer Dimension,2002,0.09,0.03,0,0,0.12
Pryzm Chapter One: The Dark Unicorn,2002,0.06,0.05,0,0.02,0.12
Gundam Battle Royale,2006,0,0,0.12,0,0.12
F1 2016 (Codemasters),2016,0.03,0.08,0,0.01,0.12
Eat Lead: The Return of Matt Hazard,2009,0.1,0.01,0,0.01,0.12
Karaoke Revolution,2009,0.12,0,0,0.01,0.12
Zen-Nippon Pro Wrestling: Ouja no Kon,1999,0,0,0.12,0.01,0.12
NASCAR 2005: Chase for the Cup,2004,0.1,0.02,0,0,0.12
Are You Smarter than a 5th Grader? Game Time,2009,0.12,0,0,0.01,0.12
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",2008,0,0,0.12,0,0.12
Guilty Gear X,2001,0.06,0.05,0,0.02,0.12
Obscure: The Aftermath,2008,0.11,0,0,0.01,0.12
One Piece: Pirate Warriors 2,2013,0,0,0.12,0,0.12
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,2014,0,0,0.12,0,0.12
NHL 2002,2002,0.09,0.03,0,0,0.12
Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,2010,0,0,0.12,0,0.12
Etrian Odyssey V,2016,0,0,0.12,0,0.12
Disney's PK: Out of the Shadows,2002,0.06,0.05,0,0.02,0.12
Wild Earth: African Safari,2008,0.1,0.02,0,0.01,0.12
Echo Night,1998,0.03,0.02,0.07,0.01,0.12
Wild ARMs 5 (jp sales),2006,0,0,0.12,0,0.12
Record of Agarest War Zero,N/A,0.09,0,0.03,0.01,0.12
Colony Wars III: Red Sun,2000,0.07,0.05,0,0.01,0.12
Magic: The Gathering - Battlemage,1997,0.07,0.05,0,0.01,0.12
Rocksmith,N/A,0.06,0.04,0,0.01,0.12
Backyard Baseball '09,2008,0.11,0,0,0.01,0.12
James Bond 007: Legends,2012,0.06,0.05,0,0.01,0.12
Conception II: Children of the Seven Stars,2013,0.09,0,0.03,0.01,0.12
The King of Fighters '94,1994,0,0,0.12,0,0.12
DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,2008,0,0,0.12,0,0.12
All Kamen Rider: Rider Generation,2011,0,0,0.12,0,0.12
The King of Fighters '98 Ultimate Match,2008,0.04,0.03,0.03,0.01,0.12
Reader Rabbit Kindergarten,2010,0.12,0,0,0.01,0.12
Puzzle Quest: Challenge of the Warlords,2007,0.06,0.05,0,0.02,0.12
Chessmaster: The Art of Learning,2008,0.11,0,0,0.01,0.12
Guardian's Crusade,1998,0.07,0.05,0,0.01,0.12
MotoGP 3 - Official Game of MotoGP,2003,0.06,0.05,0,0.02,0.12
Lego Star Wars: The Force Awakens,2016,0.04,0.07,0.01,0.01,0.12
Makai Kingdom: Chronicles of the Sacred Tome,2005,0.06,0.05,0,0.02,0.12
Lemony Snicket's A Series of Unfortunate Events,2004,0.09,0.03,0,0,0.12
Gundam Breaker 3,2016,0,0,0.12,0,0.12
Neopets Petpet Adventures: The Wand of Wishing,2006,0.11,0,0,0.01,0.12
The Ant Bully,2006,0.09,0.02,0,0,0.12
M&M's Kart Racing,2008,0.11,0,0,0.01,0.12
Bomberman Party Edition,1998,0.07,0.05,0,0.01,0.12
Ice Age: Dawn of the Dinosaurs,2009,0.09,0.02,0,0.01,0.12
SingStar Vol. 3,2008,0,0.1,0,0.03,0.12
Star Trek: Conquest,2007,0.11,0.01,0,0.01,0.12
My Fitness Coach: Club,2011,0,0.1,0,0.02,0.12
Major League Baseball 2K8 Fantasy All-Stars,2008,0.11,0,0,0.01,0.12
Eyeshield 21: Max Devil Power,2006,0,0,0.12,0,0.12
Summon Night 3,2012,0,0,0.12,0,0.12
O.D.T.: Escape... Or Die Trying,1997,0.07,0.05,0,0.01,0.12
Madden NFL 06,2005,0.11,0,0,0.01,0.12
Rango: The Video Game,2011,0.07,0.04,0,0.01,0.12
Break 'Em All,2005,0.11,0,0,0.01,0.12
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,N/A,0,0,0.12,0,0.12
Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,2007,0,0,0.12,0,0.12
San Goku Shi V,1996,0,0,0.12,0,0.12
Red Faction II,2003,0.09,0.03,0,0,0.12
Go! Sudoku,2005,0.11,0,0,0.01,0.12
Daikaijyuu Monogatari II,1996,0,0,0.12,0,0.12
Rock Band Track Pack Volume 2,2008,0.06,0.05,0,0.02,0.12
Voodoo Vince,2003,0.09,0.03,0,0,0.12
Disney Sing It: Party Hits,2010,0.1,0.01,0,0.01,0.12
Gundam Memories: Tatakai no Kioku,2011,0,0,0.12,0,0.12
Everybody Dance,2011,0.11,0,0,0.01,0.12
Kaijuu Busters,2009,0,0,0.12,0,0.12
Blackwater,2011,0.09,0.02,0,0.01,0.12
Tom Clancy's Ghost Recon,2010,0.1,0.01,0,0.01,0.12
Ferrari Challenge Trofeo Pirelli,2008,0.06,0.05,0,0.02,0.12
Moshi Monsters: Katsuma Unleashed,2013,0,0.11,0,0.01,0.12
Virtua Fighter CG Portrait Series Vol.4: Pai Chan,1995,0,0,0.12,0,0.12
Chase: Hollywood Stunt Driver,2002,0.09,0.03,0,0,0.12
Mobile Suit Gundam Side Story: Missing Link,2014,0,0,0.12,0,0.12
Thor: God of Thunder,2011,0.08,0.03,0,0.01,0.12
The X Files: Resist or Serve,2004,0.06,0.05,0,0.02,0.12
Touch My Katamari ,2011,0.07,0.03,0,0.02,0.12
PixelJunk Monsters Deluxe,2010,0.11,0,0,0.01,0.12
Saru! Get You! Million Monkeys,N/A,0,0,0.12,0,0.12
Legend of the Guardians: The Owls of Ga'Hoole,2010,0.11,0.01,0,0.01,0.12
Ben 10 Galactic Racing,2011,0.08,0.03,0,0.01,0.12
Curious George,2006,0.06,0.05,0,0.02,0.12
Killer is Dead,2013,0.08,0.02,0.01,0.01,0.12
Don Bradman Cricket 14,2015,0.01,0.09,0,0.02,0.12
Megamind: Ultimate Showdown,2010,0.07,0.04,0,0.01,0.12
Zathura,2005,0.06,0.05,0,0.02,0.12
Medarot DS: Kabuto / Kuwagata Ver.,2010,0,0,0.12,0,0.12
Atelier Sophie: The Alchemist of the Mysterious Book,2015,0.03,0.02,0.06,0.01,0.12
Mytran Wars,2009,0.08,0.02,0,0.02,0.12
Making History: The Great War,2010,0,0,0.12,0,0.12
NCIS,2011,0.07,0.04,0,0.02,0.12
Undead Knights,2009,0.05,0,0.06,0.01,0.12
Ninja Reflex,2008,0.11,0,0,0.01,0.12
Cel Damage,2001,0.09,0.03,0,0,0.12
Lovely Lisa,2007,0.11,0,0,0.01,0.12
Dance Paradise,2010,0.1,0.01,0,0.01,0.12
SSX 3,2003,0.09,0.03,0,0,0.12
Sword Art Online: Hollow Fragment,2015,0,0.1,0,0.02,0.12
Supremacy MMA,2011,0.07,0.03,0,0.02,0.12
Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,2007,0,0,0.12,0,0.12
The God of War Trilogy,2010,0,0.07,0.03,0.02,0.12
Lunar: Dragon Song,2005,0.11,0,0,0.01,0.12
Breakdown,2004,0.09,0.03,0,0,0.12
Rush,2006,0.11,0,0,0.01,0.12
Ecco the Dolphin,1992,0,0,0.12,0,0.12
Solitaire & Mahjong,2009,0.11,0,0,0.01,0.12
Venetica,2010,0.07,0.03,0,0.01,0.12
Looney Tunes: Sheep Raider,2001,0.07,0.05,0,0.01,0.12
Horse Life,2007,0.09,0.02,0,0.01,0.12
Geometry Wars: Galaxies,2007,0.11,0,0,0.01,0.12
Robinson: The Journey,2016,0.06,0.03,0,0.02,0.12
Conduit 2,2011,0.07,0.04,0,0.01,0.12
Harvest Moon 2 GBC,1999,0,0,0.12,0,0.12
Zenses: Rainforest,2008,0.1,0.01,0,0.01,0.12
Backyard Baseball '10,2009,0.11,0,0,0.01,0.12
Rise of the Tomb Raider,2016,0,0.11,0,0.01,0.12
The Lord of the Rings: Aragorn's Quest,2010,0.07,0.02,0,0.02,0.12
X2: Wolverine's Revenge,2003,0.09,0.02,0,0,0.12
Cabela's Dangerous Hunts 2011,2010,0.11,0,0,0.01,0.12
Hatsune Miku: Project Diva X,2016,0.01,0,0.1,0,0.12
Deadliest Catch: Sea of Chaos,2010,0.11,0,0,0.01,0.12
McDROID,2011,0,0,0.12,0,0.12
Destiny: The Collection,2016,0.05,0.06,0,0.01,0.12
Lego Star Wars: The Force Awakens,2016,0.05,0.06,0,0.01,0.12
Gallop Racer 2000,2000,0,0,0.11,0.01,0.12
Showdown: Legends of Wrestling,2004,0.09,0.03,0,0,0.12
Godzilla Unleashed: Double Smash,2007,0.11,0,0,0.01,0.12
My Farm Around the World,2008,0.11,0,0,0.01,0.12
Macross Triangle Frontier,2011,0,0,0.12,0,0.12
SpongeBob's Surf & Skate Roadtrip,2011,0.1,0.01,0,0.01,0.12
Farming Simulator 17,2016,0.04,0.07,0,0.01,0.12
Dishonored 2,2016,0.04,0.07,0,0.01,0.12
NASCAR Unleashed,2011,0.11,0,0,0.01,0.12
The Smurfs 2,2013,0.03,0.08,0,0.01,0.12
Street Hoops,N/A,0.09,0.02,0,0,0.12
Backyard Sports Football: Rookie Rush,2010,0.11,0,0,0.01,0.12
Transformers: War for Cybertron -- Decepticons,2010,0.11,0.01,0,0.01,0.12
Rocket: Robot on Wheels,1999,0.1,0.02,0,0,0.12
Densha De Go! 64,1999,0,0,0.05,0.07,0.12
NFL QB Club 2001,2000,0.11,0.01,0,0,0.12
Earthworm Jim 3D,1999,0.1,0.02,0,0,0.12
NPPL: Championship Paintball 2009,2008,0.1,0.01,0,0.01,0.12
Shin Megami Tensei: Devil Survivor 2,2015,0,0.02,0.09,0,0.12
Atelier Annie: Alchemists of Sera Island,2009,0.08,0,0.03,0.01,0.12
WRC: FIA World Rally Championship,N/A,0,0.1,0,0.02,0.12
PBR: Out of the Chute,2008,0.11,0,0,0.01,0.12
WWE SmackDown vs Raw 2008,2007,0.11,0,0,0.01,0.12
Godzilla: Destroy All Monsters Melee,N/A,0.09,0.03,0,0,0.12
College Hoops 2K6,2006,0.11,0,0,0.01,0.12
Sega Soccer Slam,2002,0.06,0.05,0,0.02,0.12
Dragon Quest Builders: Revive Alefgard,2016,0,0,0.12,0,0.12
Dora the Explorer: Dora Saves the Mermaids,2008,0.06,0.05,0,0.02,0.12
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,2005,0.09,0.03,0,0,0.12
DiRT 2,2009,0.06,0.04,0,0.01,0.12
Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny,2011,0,0,0.12,0,0.12
Dodge Racing: Charger vs Challenger,2009,0.11,0,0,0.01,0.12
Fate/Extra CCC,2013,0,0,0.12,0,0.12
Greg Hastings Paintball 2,2010,0.11,0,0,0.01,0.12
Fat Princess: Fistful of Cake,2010,0.08,0.02,0,0.02,0.12
MTV Sports: Pure Ride,2000,0.07,0.05,0,0.01,0.12
Burning Road,1996,0.07,0.05,0,0.01,0.12
Sonic Adventure 2,2001,0,0,0.12,0,0.12
IndyCar Series,2003,0.06,0.05,0,0.02,0.12
Slayers,1994,0,0,0.12,0,0.12
Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,2010,0,0,0.12,0,0.12
Space Chimps,2008,0.06,0.05,0,0.02,0.12
Backyard Sports Football: Rookie Rush,2010,0.11,0,0,0.01,0.12
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,2005,0.09,0.03,0,0,0.12
Famicom Mini: TwinBee,2004,0,0,0.12,0,0.12
Tony Hawk's Pro Skater 5,2015,0.09,0.02,0,0.01,0.12
Gladiator: Sword of Vengeance,2003,0.06,0.05,0,0.02,0.12
Rodea the Sky Soldier,2015,0.08,0.02,0.01,0.01,0.12
The Daring Game for Girls,N/A,0.11,0,0,0.01,0.12
Yakuza Kiwami,2016,0,0,0.12,0,0.12
DreamWorks Super Star Kartz,2011,0.08,0.03,0,0.01,0.12
Pinball Hall of Fame: The Williams Collection,2009,0.11,0,0,0.01,0.12
Ultimate Card Games,2003,0.09,0.03,0,0,0.12
Jikkyou Powerful Pro Yakyuu 8 Ketteiban,2001,0,0,0.12,0,0.12
NBA 2K17,2016,0.09,0.02,0,0.01,0.12
Academy of Champions: Soccer,2009,0.09,0.02,0,0.01,0.12
Overlord: Raising Hell,2008,0.07,0.03,0,0.02,0.12
Wallace & Gromit: Curse of the Were-Rabbit,2005,0.06,0.05,0,0.02,0.12
Power Gig: Rise of the SixString,2010,0.11,0,0,0.01,0.12
Mountain Sports,2009,0.11,0,0,0.01,0.12
Puzzle Kingdoms,2009,0.11,0,0,0.01,0.12
Skylanders: SuperChargers,2015,0.05,0.06,0,0.01,0.12
Monster Jam: Path of Destruction,2010,0.11,0,0,0.01,0.12
The Bible Game,2005,0.09,0.03,0,0,0.12
NFL Head Coach,2006,0.09,0.03,0,0,0.12
Just Dance: Disney Party,2012,0.01,0.1,0,0.01,0.12
Medarot 4: Kabuto / Kuwagata Version,2001,0,0,0.12,0,0.12
Deca Sports Extreme,2011,0.08,0,0.03,0.01,0.12
Kidz Sports: Crazy Golf,2008,0.11,0,0,0.01,0.12
Major League Baseball 2K6,N/A,0.11,0,0,0.01,0.12
Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,2010,0,0,0.12,0,0.12
Deepak Chopra's Leela,2011,0.07,0.04,0,0.01,0.12
"Ed, Edd n Eddy: The Mis-Edventures",2005,0.08,0.03,0,0,0.12
Onimusha: Blade Warriors,2003,0.06,0.05,0,0.02,0.12
One Piece: Super Grand Battle! X,2014,0,0,0.12,0,0.12
Disney's Extreme Skate Adventure,2003,0.09,0.02,0,0,0.12
Akuji the Heartless,1998,0.07,0.04,0,0.01,0.12
NBA 2K2,2002,0.09,0.02,0,0,0.12
Akiba's Trip: Undead & Undressed,2014,0.08,0,0.01,0.02,0.12
Psychonauts,2005,0.09,0.03,0,0,0.12
Tales of Berseria,2016,0,0,0.12,0,0.12
Jeremy McGrath Supercross World,2002,0.09,0.02,0,0,0.12
Uta no * Prince-Sama: All Star,2013,0,0,0.12,0,0.12
HardBall 5,1996,0.07,0.04,0,0.01,0.12
Airborne Troops: Countdown to D-Day,2005,0.06,0.05,0,0.02,0.12
MLB Inside Pitch 2003,2003,0.09,0.03,0,0,0.12
Jikkyou Powerful Pro Yakyuu 2014,2014,0,0,0.12,0,0.12
Skate City Heroes,2008,0.11,0,0,0.01,0.12
The Sky Crawlers: Innocent Aces,2008,0.08,0.02,0.01,0.01,0.12
Battle Arena Toshinden Remix,1994,0,0,0.12,0,0.12
nail'd,2010,0.08,0.02,0,0.02,0.12
Legends of Wrestling II,2002,0.09,0.02,0,0,0.12
Lost Magic,2006,0.09,0,0.02,0.01,0.12
A.C.E.: Another Century's Episode Portable,2011,0,0,0.12,0,0.12
Jaws: Ultimate Predator,2011,0.11,0,0,0.01,0.12
Marvel Avengers: Battle for Earth,2012,0.06,0.04,0,0.01,0.12
Jikkyou Powerful Pro Yakyuu 9,2002,0,0,0.11,0,0.12
Rock Band: Metal Track Pack,2009,0.11,0,0,0.01,0.12
Alice: Madness Returns,2011,0,0.1,0,0.02,0.12
Barbie as The Island Princess,2007,0.06,0.04,0,0.02,0.12
Crime Killer,1998,0.07,0.04,0,0.01,0.12
Petz Puppyz & Kittenz,2011,0.11,0,0,0.01,0.12
Backyard Wrestling 2: There Goes the Neighborhood,2004,0.09,0.03,0,0,0.12
Raiden IV,2008,0.1,0,0.01,0.01,0.12
MX vs. ATV Untamed,2007,0.11,0,0,0.01,0.12
Tom Clancy's Splinter Cell: Blacklist,2013,0.04,0.07,0,0.01,0.12
SD Gundam G Generation-F.I.F,2001,0,0,0.11,0.01,0.12
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,1994,0,0,0.12,0,0.12
Rubik's World,2008,0.1,0.01,0,0.01,0.12
Zenses: Ocean,2008,0.1,0.01,0,0.01,0.12
Phantasy Star Universe,2006,0.09,0.01,0,0.01,0.12
Peggle: Dual Shot,2009,0.11,0,0,0.01,0.12
NPPL: Championship Paintball 2009,2008,0.11,0,0,0.01,0.12
Spider-Man: Edge of Time,2011,0.08,0.03,0,0.01,0.12
Cruis'n,2007,0.1,0.01,0,0.01,0.12
Samurai Warriors 4-II,2015,0.03,0.02,0.06,0.01,0.12
Harukanaru Augusta 2: Masters,1993,0,0,0.12,0,0.12
Castlevania: Curse of Darkness,2005,0.09,0.03,0,0,0.12
SimAnimals Africa,2009,0.1,0.01,0,0.01,0.12
Love Live! School Idol Paradise,2014,0,0,0.12,0,0.12
Lost Planet 3,2013,0.07,0.03,0.01,0.01,0.12
Battles of Prince of Persia,2005,0.1,0.01,0,0.01,0.12
The Clique: Diss and Make Up,2009,0.11,0,0,0.01,0.12
Mobil 1 Rally Championship,2000,0.07,0.04,0,0.01,0.12
USA Today Crossword Challenge,2008,0.11,0,0,0.01,0.12
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,2002,0,0,0.12,0,0.12
Turok: Evolution,2002,0.08,0.03,0,0,0.12
Charm Girls Club: My Perfect Prom,2009,0.11,0,0,0.01,0.12
Marvel Trading Card Game,2007,0.11,0,0,0.01,0.12
Rugrats: Totally Angelica,2001,0.06,0.04,0,0.01,0.12
Nightshade,2003,0.06,0.04,0,0.01,0.12
Brunswick Pro Bowling,2011,0.11,0,0,0.01,0.12
CSI: Crime Scene Investigation,2004,0.09,0.03,0,0,0.12
Wipeout 2,2011,0.11,0,0,0.01,0.12
LEGO Batman 2: DC Super Heroes,2013,0.04,0.06,0,0.01,0.12
Ultimate Puzzle Games: Sudoku Edition,2007,0.11,0,0,0.01,0.12
Buffy the Vampire Slayer: Chaos Bleeds,2003,0.09,0.03,0,0,0.12
Onechanbara: Bikini Zombie Slayers,2008,0.11,0,0,0.01,0.12
Hanagumi Taisen Columns,1997,0,0,0.12,0,0.12
Tropico 5,2014,0.02,0.09,0,0.01,0.12
Tales of Destiny 2,2007,0,0,0.12,0,0.12
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,2005,0.09,0.02,0,0,0.12
Reality Fighters,2012,0.05,0.05,0,0.02,0.12
Petz Fantasy: Moonlight Magic,2010,0.11,0,0,0.01,0.12
The Price is Right: Decades,2011,0.11,0,0,0.01,0.12
Power Pro Kun Pocket 14,2011,0,0,0.12,0,0.12
Dragon Ball: Origins,2008,0.08,0.02,0,0.01,0.12
Jikkyou Powerful Pro Baseball 2016,2016,0,0,0.12,0,0.12
FIFA 17,2016,0,0.11,0,0.01,0.12
After Hours Athletes,2011,0,0.1,0,0.02,0.12
UN Squadron,1991,0,0,0.12,0,0.12
Tecmo Super Bowl,1996,0.06,0.04,0,0.01,0.12
Disney Princess: Enchanting Storybooks,2011,0.07,0.03,0,0.01,0.12
Dora the Explorer: Journey to the Purple Planet,2005,0.09,0.02,0,0,0.12
Lunar 2: Eternal Blue,1998,0,0,0.12,0,0.12
NHL Powerplay '96,1996,0.06,0.04,0,0.01,0.12
